Linux 6.8.0-1013-linux-64k (hsun-code-machine) 	03/10/2025 	_aarch64_	(72 CPU)

03:06:53 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
03:08:22 PM     all      5.79      0.00      0.12      0.00      0.00     94.09
03:08:23 PM     all      4.31      0.00      0.24      0.00      0.00     95.46
03:08:24 PM     all      8.00      0.00      0.50      0.04      0.00     91.45
03:08:25 PM     all      2.34      0.00     70.92      0.00      0.00     26.74
03:08:26 PM     all      0.43      0.00     67.31      0.00      0.00     32.26
03:08:27 PM     all      1.75      0.00      1.61      0.00      0.00     96.63
03:08:28 PM     all      3.12      0.00      0.54      0.00      0.00     96.33
03:08:29 PM     all      2.71      0.00      0.14      0.15      0.00     97.00
03:08:30 PM     all      3.43      0.00      0.39      0.00      0.00     96.18
03:08:31 PM     all      7.70      0.00      3.62      0.00      0.00     88.68
03:08:32 PM     all      5.85      0.00      0.46      0.00      0.00     93.69
03:08:33 PM     all      6.32      0.00      0.15      0.00      0.00     93.53
03:08:34 PM     all      5.00      0.00      0.15      0.00      0.00     94.85
03:08:35 PM     all      7.36      0.00      0.07      0.08      0.00     92.48
03:08:36 PM     all      7.11      0.00      2.82      0.00      0.00     90.07
03:08:37 PM     all      8.01      0.00      0.10      0.00      0.00     91.90
03:08:38 PM     all      6.06      0.00      0.19      0.00      0.00     93.75
03:08:39 PM     all      7.31      0.00      0.08      0.03      0.00     92.58
03:08:40 PM     all      4.44      0.00      0.08      0.15      0.00     95.32
03:08:41 PM     all      9.12      0.00      0.38      0.01      0.00     90.49
03:08:42 PM     all      6.09      0.00      2.46      0.00      0.00     91.45
03:08:43 PM     all      5.78      0.00      0.11      0.00      0.00     94.11
03:08:44 PM     all      6.40      0.00      0.04      0.00      0.00     93.56
03:08:45 PM     all      4.40      0.00      0.15      0.04      0.00     95.40
03:08:46 PM     all      6.31      0.00      0.40      0.00      0.00     93.28
03:08:47 PM     all      9.79      0.00      3.07      0.00      0.00     87.14
03:08:48 PM     all      5.29      0.00      0.36      0.00      0.00     94.35
03:08:49 PM     all      4.57      0.00      0.53      0.00      0.00     94.90
03:08:50 PM     all      6.85      0.00      0.65      0.01      0.00     92.48
03:08:51 PM     all      6.71      0.00      0.43      0.28      0.00     92.58
03:08:52 PM     all      7.55      0.00      2.56      0.01      0.00     89.88
03:08:53 PM     all      7.90      0.00      0.96      0.04      0.00     91.10
03:08:54 PM     all      5.46      0.00      0.74      0.07      0.00     93.73
03:08:55 PM     all      5.71      0.00      0.71      0.03      0.00     93.55
03:08:56 PM     all      8.30      0.00      0.85      0.01      0.00     90.84
03:08:57 PM     all      4.85      0.00      0.68      0.00      0.00     94.47
03:08:58 PM     all      7.96      0.00      3.59      0.00      0.00     88.44
03:08:59 PM     all      4.66      0.00      0.61      0.00      0.00     94.72
03:09:00 PM     all      8.50      0.00      0.46      0.00      0.00     91.04
03:09:01 PM     all      5.84      0.00      0.67      0.04      0.00     93.45
03:09:02 PM     all      6.85      0.00      0.68      0.00      0.00     92.47
03:09:03 PM     all      8.14      0.00      3.64      0.00      0.00     88.22
03:09:04 PM     all      4.53      0.00      0.71      0.00      0.00     94.76
03:09:05 PM     all      7.53      0.00      0.79      0.00      0.00     91.67
03:09:06 PM     all      6.52      0.00      0.68      0.01      0.00     92.79
03:09:07 PM     all      6.33      0.00      0.61      0.00      0.00     93.06
03:09:08 PM     all      5.32      0.00      1.77      0.00      0.00     92.91
03:09:09 PM     all      9.88      0.00      3.10      0.01      0.00     87.01
03:09:10 PM     all      6.03      0.00      0.81      0.00      0.00     93.16
03:09:11 PM     all      7.12      0.00      0.53      0.03      0.00     92.33
03:09:12 PM     all      6.92      0.00      0.56      0.00      0.00     92.53
03:09:13 PM     all      4.80      0.00      0.49      0.00      0.00     94.72
03:09:14 PM     all      9.58      0.00      3.55      0.00      0.00     86.87
03:09:15 PM     all      6.63      0.00      0.71      0.00      0.00     92.66
03:09:16 PM     all      6.30      0.00      0.46      0.01      0.00     93.23
03:09:17 PM     all      4.35      0.00      0.11      0.00      0.00     95.54
03:09:18 PM     all      7.95      0.00      0.19      0.00      0.00     91.85
03:09:19 PM     all      6.94      0.00      2.92      0.03      0.00     90.11
03:09:20 PM     all      6.59      0.00      0.03      0.00      0.00     93.38
03:09:21 PM     all      6.35      0.00      0.21      0.00      0.00     93.44
03:09:22 PM     all      5.94      0.00      0.10      0.00      0.00     93.96
03:09:23 PM     all      7.46      0.00      0.17      0.00      0.00     92.38
03:09:24 PM     all      4.99      0.00      0.56      0.01      0.00     94.44
03:09:25 PM     all      7.14      0.00      2.49      0.01      0.00     90.35
03:09:26 PM     all      4.38      0.00      0.15      0.04      0.00     95.43
03:09:27 PM     all      8.63      0.00      0.06      0.00      0.00     91.31
03:09:28 PM     all      4.71      0.00      0.07      0.00      0.00     95.22
03:09:29 PM     all      8.66      0.00      0.07      0.00      0.00     91.27
03:09:30 PM     all      5.92      0.00      2.97      0.00      0.00     91.10
03:09:31 PM     all      5.71      0.00      0.13      0.03      0.00     94.13
03:09:32 PM     all      7.79      0.00      0.10      0.00      0.00     92.11
03:09:33 PM     all      4.24      0.00      0.15      0.00      0.00     95.60
03:09:34 PM     all      5.84      0.00      0.07      0.00      0.00     94.09
03:09:35 PM     all      5.79      0.00      2.40      0.01      0.00     91.79
03:09:36 PM     all      9.29      0.00      0.35      0.01      0.00     90.34
03:09:37 PM     all      4.46      0.00      0.10      0.00      0.00     95.45
03:09:38 PM     all      8.67      0.00      0.15      0.00      0.00     91.18
03:09:39 PM     all      4.81      0.00      0.28      0.03      0.00     94.89
03:09:40 PM     all      5.18      0.00      0.21      0.01      0.00     94.60
03:09:41 PM     all      9.51      0.00      3.01      0.01      0.00     87.47
03:09:42 PM     all      4.89      0.00      0.10      0.01      0.00     95.00
03:09:43 PM     all      4.98      0.00      0.08      0.00      0.00     94.93
03:09:44 PM     all      7.05      0.00      0.17      0.00      0.00     92.79
03:09:45 PM     all      6.08      0.00      0.12      0.00      0.00     93.79
03:09:46 PM     all      6.03      0.00      3.14      0.01      0.00     90.81
03:09:47 PM     all      8.02      0.00      0.38      0.03      0.00     91.57
03:09:48 PM     all      6.10      0.00      0.38      0.00      0.00     93.53
03:09:49 PM     all      6.42      0.00      0.29      0.00      0.00     93.29
03:09:50 PM     all      5.26      0.00      0.32      0.00      0.00     94.42
03:09:51 PM     all      6.46      0.00      1.34      0.01      0.00     92.18
03:09:52 PM     all      5.42      0.00      2.29      0.00      0.00     92.29
03:09:53 PM     all      8.79      0.00      0.31      0.00      0.00     90.90
03:09:54 PM     all      6.07      0.00      0.61      0.00      0.00     93.32
03:09:55 PM     all      8.44      0.00      0.60      0.00      0.00     90.96
03:09:56 PM     all      5.45      0.00      0.57      0.00      0.00     93.98
03:09:57 PM     all      5.99      0.00      3.14      0.00      0.00     90.88
